Country Name,Country Code,Region,Sub-Region,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,Asia,Southern Asia,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,..,..,..,3042274496,4265888740,5162440807,6344641960,7152304398,7288702711,7528549880,6976966154,7281910524,8097280956,8206682106,8497655795,9748946327,..,..,..,..
Afghanistan,AFG,Asia,Southern Asia,Total reserves minus gold (current US$),FI.RES.XGLD.CD,..,..,..,2430835946,3501370864,4174367358,5268341390,5982504171,6441933256,6680725917,6231780913,6476337159,7185835046,7305675820,7426979266,8419488004,..,..,..,..
Afghanistan,AFG,Asia,Southern Asia,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,11.22971483,5.357403247,13.82631955,3.92498382,21.39052839,14.36244147,0.426354777,12.75228709,5.600744659,2.724543362,1.451314661,2.260314203,2.647003203,1.189228129,3.911603416,-2.351100672,-20.73883937,-6.240171992,2.266943736,..
Afghanistan,AFG,Asia,Southern Asia,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,363.6401414,367.7583117,410.7577289,417.6472826,488.8306525,542.8710305,525.4269828,568.9290215,580.6038333,575.1462458,565.5697304,563.8723367,562.7695741,553.1251517,557.8615332,527.8345545,408.6258552,377.6656271,378.0663031,..
Afghanistan,AFG,Asia,Southern Asia,GDP (constant 2015 US$),NY.GDP.MKTP.KD,8874480196,9349921886,10642671963,11060395116,13426272073,15354612542,15420077666,17386490239,18360263163,18860496494,19134221645,19566715174,20084646751,20323499020,21118473702,20621957125,16345202563,15325233810,15672648238,..
Afghanistan,AFG,Asia,Southern Asia,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,..,..,..,-2.357990447,2.236019419,-3.643313882,-12.61953821,-25.8706815,-25.29005856,-15.77241983,-21.91265734,-14.95019519,-18.95596123,-21.58527412,-20.17046439,-15.71830279,..,..,..,..
Afghanistan,AFG,Asia,Southern Asia,Access to electricity (% of population),EG.ELC.ACCS.ZS,28.7,33.5,38.4,42.4,48.3,42.7,43.2,69.1,68,89.5,71.5,97.7,97.7,93.4,97.7,97.7,97.7,85.3,85.3,..
Afghanistan,AFG,Asia,Southern Asia,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-25.86826027,-22.72741078,-36.12538481,-33.87908891,..
Afghanistan,AFG,Asia,Southern Asia,GDP per capita (current US$),NY.GDP.PCAP.CD,254.1842491,274.2185536,376.223152,381.733238,452.0537055,560.6215055,606.6946763,651.4171345,637.0870991,625.0549418,565.5697304,522.0822156,525.4697709,491.3372214,496.6025043,510.7870634,356.4962141,357.2611528,413.7578947,..
Afghanistan,AFG,Asia,Southern Asia,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,7.383377282,1.132485055,11.69230329,1.677279156,17.04389632,11.05503055,-3.213295006,8.279368993,2.052068261,-0.939984756,-1.665057447,-0.300121027,-0.195569548,-1.713742693,0.856294729,-5.382514642,-22.58448187,-7.576668912,0.106092801,..
Afghanistan,AFG,Asia,Southern Asia,GDP (current US$),NY.GDP.MKTP.CD,6203256539,6971758282,9747886187,10109297048,12416152732,15856668556,17805098206,19907329778,20146416758,20497128556,19134221645,18116572395,18753456498,18053222687,18799444490,19955929052,14259995441,14497243872,17152234637,..
Albania,ALB,Europe,Southern Europe,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,1439592137,1812802560,2161936583,2363791897,2368942443,2540673823,2471402725,2599863597,2773278107,2665215805,3138517990,3108607052,3588583657,3893560031,3763661059,4817386149,5634561134,5266463584,6455445543,6515581528
Albania,ALB,Europe,Southern Europe,Total reserves minus gold (current US$),FI.RES.XGLD.CD,1404087725,1768802845,2104224659,2319777467,2313907809,2469547484,2393924086,2515654271,2712322498,2604184282,3084875026,3050641047,3523758657,3829477531,3626591059,4647187149,5470752134,5085228584,6228581543,6228580528
